User_Name,Full_Name,Cover_Pic,Profile_Image,Verified,Birthday,Location,Website,BIO,Followers,Following,Join_date,,
,,,,,,,,,,,,,
@iamsrk,Shah Rukh Khan ,https://pbs.twimg.com/profile_banners/101311381/1454256204/600x200,https://twitter.com/@iamsrk/photo,TRUE,,,https://t.co/NJY7giyFC0,,42.8M,74,Joined January 2010,,
,,,,,,,,,,,,,
@SRKandKAJOLorg,Kajol & SRK FANCLUB ,https://pbs.twimg.com/profile_banners/101534404/1453322448/600x200,https://twitter.com/@srkandkajolorg/photo,FALSE,,"Berlin, Germany",http://t.co/SOAk0iNjiO,"Welcome to the biggest fanclub & most reliable news source for Bollywood's JODI #1: Kajol & Shahrukh Khan  Kajol: 
@KajolAtUN
  Shahrukh: 
@iamsrk",31.9K,23,Joined January 2010,,
,,,,,,,,,,,,,
@IAMSRK_WORLD,SHAHRUKH KHAN WORLD ,https://pbs.twimg.com/profile_banners/403781609/1414682466/600x200,https://twitter.com/@iamsrk_world/photo,FALSE,WORLDWIDE,Entertainment & Recreation,https://t.co/Odgg0SQk1P,"Follow The Real SRK Twitter handle 
@iamsrk
 

SRK News with Authentic sources on Daily basis Follow Our Fan Club :)",24.8K,54,Joined November 2011,,
,,,,,,,,,,,,,
@IAMSRKFans,SRK Fans ❤️ iamsrk ❤️ KKR ❤️ KKRHaiTaiyaar ❤️ Eden ,https://pbs.twimg.com/profile_banners/255015065/1402392275/600x200,https://twitter.com/@iamsrkfans/photo,FALSE,,Mumbai Kolkata India World,https://t.co/O54xsdxn7Y,"We Love SRK. iamsrk, Red Chillies Ent, Supporter. Keep Loving 
@iamsrk
 & fans.  SRK Fans  iamsrk  KKR  Eden Gardens  KKRHaiTaiyaar  EdenGardens  KLJ",26.7K,26,Joined February 2011,,
,,,,,,,,,,,,,
@RussianSRKFans,@ShahrukhKhanInfo ,https://pbs.twimg.com/profile_banners/523972225/1435970054/600x200,https://twitter.com/@russiansrkfans/photo,FALSE,,"Russia, Moscow",http://t.co/U7FR41IMvx,"BEST #RUSSIAN 
@iamsrk
 FANSITE! 
@SRKYO
 admin site! We love & admire 
@iamsrk
! He's One & Only KING in Bollywood! Фан Сайт о Шахрукх Кхане! Присоединяйтесь!","6,851",119,Joined March 2012,,
,,,,,,,,,,,,,
@sk9146417645,Shahrukh A Khan ,https://pbs.twimg.com/profile_banners/4406282894/1600928216/600x200,https://twitter.com/@sk9146417645/photo,FALSE,,"Pune, India",,"First follow King of Bollywood 
@iamsrk
 then me.U Can call me JuniorSrk or Undefined fan of SRK","1,794",92,Joined November 2015,,
,,,,,,,,,,,,,
@ZybotH,mahjong funny moments ,https://pbs.twimg.com/profile_banners/2713479160/1586789369/600x200,https://twitter.com/@zyboth/photo,FALSE,Born February 14,"Sweden, Sweden",https://t.co/zSY55wrWth,"this is a Shahrukh Khan STAN account, if you do not like Shahrukh Khan UNFOLLOW now",300,42,Joined July 2014,,
,,,,,,,,,,,,,
@SRK_FC,SRK FAN CLUB - SRKFC || KKR || SHAH RUKH KHAN FANS ,https://pbs.twimg.com/profile_banners/148016974/1402390645/600x200,https://twitter.com/@srk_fc/photo,FALSE,,HEART of SRK lovers,https://t.co/TcIM7iB32M,"SRK FC. A Fan Account. King of Romance. Bollywood Badshah. King of Bollywood. World's Best Actor. #ShahrukhKhan. 
@iamsrk
 #KKR #Bollywood #SRK. Proud Indians.",111.9K,25,Joined May 2010,,
,,,,,,,,,,,,,
@shahrukhkhan681,Shahrukh khan Actor ,https://pbs.twimg.com/profile_banners/2908323902/1416760397/600x200,https://twitter.com/@shahrukhkhan681/photo,FALSE,,,,,380,10,Joined November 2014,,
,,,,,,,,,,,,,
@iamsrk_brkk,JUST A FAN. ,https://pbs.twimg.com/profile_banners/1241774358458228738/1633245767/600x200,https://twitter.com/@iamsrk_brkk/photo,FALSE,,Jodhpur,,Google BBC CNN Discovery Wikipedia Forbes The Times The Guardian says Biggest star of the world.#OnlyShahRukhKhanMatter.,339,6,Joined March 2020,,
,,,,,,,,,,,,,
@ShahRukhKhanFr,SHAHRUKH KHAN FRANCE ,https://pbs.twimg.com/profile_banners/81654926/1423275596/600x200,https://twitter.com/@shahrukhkhanfr/photo,FALSE,,France,https://t.co/rlM2EthR99,"Only 
@iamsrk
 news in French & English - Website : http://shahrukhkhan.fr  -  FB : http://facebook.com/shahrukhkhan.f…",516,45,Joined October 2009,,
,,,,,,,,,,,,,
@ShahRukhKhan_FC, 🇸 🇷 🇰 ᖴᗩᑎՏ ᑕᒪᑌᗷ 🇮🇳 ,https://pbs.twimg.com/profile_banners/156967233/1667577083/600x200,https://twitter.com/@shahrukhkhan_fc/photo,FALSE,WhatsApp - 9851088380,,https://t.co/Vdud8GFAND,"𝑾𝒆𝒍𝒄𝒐𝒎𝒆 𝒕𝒐 𝑺𝑯𝑨𝑯 𝑹𝑼𝑲𝑯 𝑲𝑯𝑨𝑵 𝑭𝒂𝒏𝒔 𝑪𝒍𝒖𝒃

Upcoming 
@iamsrk
 MOVIES :
#PATHAAN : 25 JAN 2023
#JAWAN  : 02 JUN 2023
#DUNKI  : 22 DEC 2023",235.4K,33,Joined June 2010,,
,,,,,,,,,,,,,
@OnlineShahRukh,ShahRukh Khan Fans ,https://pbs.twimg.com/profile_images/3511288973/81dfab25c048e22f806fda4da900852c_200x200.jpeg,https://twitter.com/@onlineshahrukh/photo,FALSE,,India ,http://t.co/Q25rHiCipj,"Fan Club Of Shahrukh Khan, the King of Bollywood! Next Biggest Upcoming Movie: Chennai Express",765,6,Joined April 2012,,
,,,,,,,,,,,,,
@weloveyou_SRK,Love ShahRukh Khan ,https://pbs.twimg.com/profile_banners/416465922/1397584756/600x200,https://twitter.com/@weloveyou_srk/photo,FALSE,,London,,"Love Shahrukh alot. He is the best of best. Shahrukh love u, love u, love u :-)",673,29,Joined November 2011,,
,,,,,,,,,,,,,
@KhanSkking,shahrukhkhan fanclub ,https://pbs.twimg.com/profile_banners/1037135658/1356539111/600x200,https://twitter.com/@khanskking/photo,FALSE,,,,who is real fan of shahrukh khan he or she will follow by this account,448,12,Joined December 2012,,
,,,,,,,,,,,,,
@shahrukhkhan13b,shahrukh khan ,https://pbs.twimg.com/profile_images/1432161945/Malik__3__200x200.jpg,https://twitter.com/@shahrukhkhan13b/photo,FALSE,,,,,21,20,Joined July 2011,,
,,,,,,,,,,,,,
