User_Name,Full_Name,Cover_Pic,Profile_Image,Verified,Birthday,Location,Website,BIO,Followers,Following,Join_date
@ManasUnknown,QAMAR JAVED BAJWA ,https://pbs.twimg.com/profile_banners/1411667952483532805/1625404742/600x200,https://twitter.com/@manasunknown/photo,FALSE,,Minsk,,"Jag jao punjabiyoon  burrah
RT/like are not endorsement ","1,358",146,Joined July 2021
,,,,,,,,,,,
@QamarJavedPK,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/804294265291571200/1480595970/600x200,https://twitter.com/@qamarjavedpk/photo,FALSE,,Pakistan,https://t.co/HN54Gat1TR,16th Chief of Army Staff Pakistan. (Unofficial Account),"1,105",1,Joined December 2016
,,,,,,,,,,,
@QamarFans,General Qamar Javed Bajwa Fans ,https://pbs.twimg.com/profile_banners/1175701830870999045/1569144650/600x200,https://twitter.com/@qamarfans/photo,FALSE,,,,Pakistan Army zindabad ,"2,525",869,Joined September 2019
,,,,,,,,,,,
@OfficialPakCoAS,General Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/1384435731897229314/1618910603/600x200,https://twitter.com/@officialpakcoas/photo,TRUE,,"GHQ, Rawalpindi",https://t.co/Fq6XRaEBIG,"Official Handle of Pakistan Chief of Army Staff. For Regular updates on Pakistan Armed Forces follow 
@OfficialDGISPR","1,373",50,Joined April 2021
,,,,,,,,,,,
@COASFans,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/861114760430985217/1495638158/600x200,https://twitter.com/@coasfans/photo,FALSE,,Pakistan,,Fans Account of COAS #PakArmy,383,1,Joined May 2017
,,,,,,,,,,,
@GenJavedBajwa,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_images/802524293493948416/2s4PUTm-_200x200.jpg,https://twitter.com/@genjavedbajwa/photo,FALSE,,,,,295,0,Joined November 2016
,,,,,,,,,,,
@Bajwa__pak,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/1544925975888142342/1657174765/600x200,https://twitter.com/@bajwa__pak/photo,FALSE,,Pakistan,,Pakistani general and the 10th and current Chief of the Army Staff of Pakistan Army,13,1,Joined July 2022
,,,,,,,,,,,
@GenQamar_Bajwa,Gen Qamar Javed Fans ,https://pbs.twimg.com/profile_images/802877934260391936/O0IWh2kc_200x200.jpg,https://twitter.com/@genqamar_bajwa/photo,FALSE,,Pakistan,,"General Qamar Javed Bajwa HI, is the Chief of Army Staff of the Pakistan Army. Born in Karachi and belonging to Ghakhar Mandi.","1,447",263,Joined November 2016
,,,,,,,,,,,
@Gen_Qamr_bajwa,#QamarJavedBajwa ,https://pbs.twimg.com/profile_banners/2829810004/1480272806/600x200,https://twitter.com/@gen_qamr_bajwa/photo,FALSE,,,,official fan page of our #Gen_Qamar_bajwa,806,11,Joined October 2014
,,,,,,,,,,,
@PakArmy_Chief,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/1572577630368530432/1663767193/600x200,https://twitter.com/@pakarmy_chief/photo,FALSE,"Born November 11, 1960",Karachi / Lahore / Dubai ,https://t.co/Sm0GX0IoHV,"The Official Twitter Account of General Qamar Javed Bajwa , 10th Chief of the Army Staff of Islamic Republic of Pakistan.",27,5,Joined September 2022
,,,,,,,,,,,
@QJaved_Bajwa,Qamar Javed Bajwa ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@qjaved_bajwa/photo,FALSE,,Pakistan,https://t.co/4QSNDoCdW8,"Official Account of General

Qamar Javed Bajwa. Handle run by his

ISPR Office. Tweets directly written

by General ends with - QJB",221,9,Joined July 2014
,,,,,,,,,,,
@QamerJavedBajwa,Qamar Javed Bajwa ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@qamerjavedbajwa/photo,FALSE,,,,,162,1,Joined October 2016
,,,,,,,,,,,
@bajwa_doctorine,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/1066230143310540800/1638591954/600x200,https://twitter.com/@bajwa_doctorine/photo,FALSE,Born October 17,Pakistan,,There will emerge from Khorasan black banners which nothing will repel until they are set up in Jerusalem,68,720,Joined November 2018
,,,,,,,,,,,
@RealQamarBajwa,Qamar Javed Bajwa ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@realqamarbajwa/photo,FALSE,,,,,59,2,Joined December 2015
,,,,,,,,,,,
@LtGenQamarBajwa,Qamar Javed Bajwa ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@ltgenqamarbajwa/photo,FALSE,,,,,92,0,Joined May 2017
,,,,,,,,,,,
@QamarJavedCOAS,Qamar Javed Bajwa ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@qamarjavedcoas/photo,FALSE,,,,,55,2,Joined December 2015
,,,,,,,,,,,
@CheifQamarJaved,Qamar Javed Bajwa ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@cheifqamarjaved/photo,FALSE,,,,,72,0,Joined May 2016
,,,,,,,,,,,
@Nawazsharif4200,Qamar Javed Bajwa ,https://pbs.twimg.com/profile_banners/1530125810526560256/1654265454/600x200,https://twitter.com/@nawazsharif4200/photo,FALSE,,,,Fan Account,8,216,Joined May 2022
